subj_id,Duration,condition,A,B,C,D,E,F,notA,notB,notC,notD,notE,notF,BgA,BgnotA,CgB,CgnotB,DgB,DgnotB,EgB,EgnotB,FgA,FgnotA,check77,Gov_Subsidies,Energy_tax,Coal_Regulations,Solar_subsidy,Business_tax,Gas_tax,Gas_guzzler,Fuel_efficiency,quiz1,quiz2,quiz3,quiz4,quiz5,self_understanding
30ffd48ea011ed313fbffcdf83545df7,302,control,30,70,50,80,70,50,60,30,50,30,30,50,30,80,70,30,80,50,80,50,50,60,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,ultraviolet; visible,"Carbon dioxide,Methane",reflect visible light energy back toward earth,TRUE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Moderately well
b5ef1a378cb7facc22afab7035b836a6,759,control,5,95,95,95,95,95,5,5,5,5,5,5,5,95,95,5,95,5,95,95,5,95,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,infrared; visible,Carbon dioxide,reflect visible light energy back toward earth,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Extremely well
de12ae0eb7ad008bb1194a74669419bf,650,intervention,0,95,95,95,100,85,85,5,5,15,15,5,20,97,100,30,98,35,100,55,35,90,77,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably no,Probably yes,Probably no,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,means that infrared light coming from the sun is allowed to pass through the atmosphere and warm the earth,Moderately well
6e13583eccddb900a67a7c9d46f7800e,569,intervention,50,30,50,50,30,60,0,40,30,0,40,0,30,40,40,40,40,50,0,30,30,30,77,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Slightly well
b66844d1b7f70c3ce9c35baa37758883,327,control,30,60,60,60,65,60,20,30,30,30,30,40,30,50,60,40,80,30,70,35,40,40,77,Probably yes,Probably no,Probably no,Probably no,Probably no,Definitely no,Probably no,Probably no,infrared; visible,"Carbon dioxide,Methane",allow infrared light to pass through but reflect visible light,TRUE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Moderately well
74ff3ec84ac37d4e4f340fd0db0b43a9,462,control,0,50,60,60,60,30,75,25,25,20,20,15,35,50,85,25,65,20,60,50,20,15,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Probably yes,Probably no,Probably yes,Probably yes,infrared; ultraviolet,"Carbon dioxide,Methane",allow infrared light to pass through but reflect visible light,TRUE,means that infrared light coming from the sun is allowed to pass through the atmosphere and warm the earth,Moderately well
09c95d39994808447b431e06259e0ab6,573,intervention,5,60,40,100,95,20,65,20,20,10,5,20,20,60,90,7,100,20,100,30,10,25,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably no,Definitely yes,Definitely yes,ultraviolet; visible,Methane,allow visible light to pass through but absorb infrared light,TRUE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Very well
aaad304b5888684d4c24bccf00236fd3,288,control,4,50,2,15,15,25,70,5,71,75,10,90,5,15,10,2,5,15,15,1,0,10,77,Definitely no,Probably no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,ultraviolet; visible,Carbon dioxide,reflect visible light back into space,TRUE,means that infrared light coming from the sun is allowed to pass through the atmosphere and warm the earth,Moderately well
e598602a24fada80dba125c061266a37,224,control,1,58,49,62,69,64,69,26,21,32,16,20,34,67,53,22,57,23,61,31,26,66,77,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,Probably yes,Probably yes,Probably yes,visible; infrared,Carbon dioxide,reflect visible light energy back toward earth,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
24687b8e20b068e574f2fc8e7c31d588,374,control,20,80,75,85,90,75,90,25,25,5,15,25,40,90,80,40,90,60,95,65,40,75,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",reflect visible light energy back toward earth,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Very well
092b482957d8f3eac3485c42b6304d3b,431,control,11,85,90,90,90,85,10,10,42,10,20,15,45,90,90,20,85,20,90,50,30,88,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Slightly well
4565f86914233b28dbdfc9cf81fedb26,388,intervention,10,50,50,50,50,50,60,50,50,50,50,50,20,80,80,30,80,20,80,30,20,80,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,infrared; ultraviolet,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
fcea6255104cedb58f0f1322d0be6a9a,472,control,5,70,20,60,60,20,95,30,80,40,40,20,70,70,20,20,60,60,60,60,20,20,77,Probably yes,Probably no,Probably no,Probably no,Probably no,Definitely no,Probably no,Probably no,infrared; ultraviolet,"Carbon dioxide,Oxygen,Nitrogen",allow visible light to pass through but absorb infrared light,TRUE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Not well at all
0ceaadc4c90683e640b489b9cbf85c2b,314,control,5,85,80,95,95,50,95,50,20,5,5,50,50,90,85,80,95,80,99,95,39,50,77,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,infrared; visible,"Carbon dioxide,Methane",reflect visible light energy back toward earth,FALSE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Extremely well
6b75794626e6f3afd67a8ed0b68b5edb,529,intervention,15,55,60,70,90,70,60,40,20,20,15,70,30,50,85,45,85,40,95,90,25,40,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably no,Probably yes,Probably yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
c09508e56fddd3d812ce9cb8bfd0c845,410,intervention,1,55,50,20,50,60,90,20,20,30,20,20,15,40,50,25,20,25,50,20,25,60,77,Probably no,Probably no,Probably no,Probably no,Probably no,Probably yes,Probably yes,Probably no,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
b94c37943e7cc6d1a6533abd26b0bfac,458,control,40,70,60,70,80,40,60,40,20,20,20,30,30,95,80,40,90,40,90,60,30,70,77,Definitely yes,Probably no,Probably no,Probably yes,Probably no,Definitely no,Definitely no,Definitely yes,infrared; visible,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Slightly well
c6398132fbc0b600c39a45d9aeefac6d,436,control,25,50,30,70,50,40,70,40,60,30,30,60,10,60,60,40,70,35,80,65,40,70,77,Probably yes,Probably yes,Probably yes,Definitely yes,Probably no,Definitely no,Probably no,Probably yes,infrared; ultraviolet,"Carbon dioxide,Methane",reflect visible light energy back toward earth,TRUE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Very well
4d45650c0439e39b3b3a08f112187d6d,477,intervention,10,40,60,50,60,10,10,10,10,10,10,10,10,10,60,20,60,10,60,10,10,10,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Very well
f0f647a87dababb566931535c19444b6,528,intervention,10,10,50,90,65,40,95,10,30,10,5,10,5,90,80,20,90,40,100,40,10,90,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow infrared light to pass through but reflect visible light,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Very well
4ab86d0e1681339c904b278442364d63,447,intervention,0,100,75,95,100,10,100,0,50,5,0,90,0,100,75,50,95,75,100,100,2,10,77,Probably no,Probably no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Probably yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
c778e56ff855f76ac073da13ffbcedaa,151,control,56,67,88,56,78,44,67,45,56,9,45,66,33,89,45,90,45,67,90,77,98,87,77,Definitely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably no,Definitely no,Definitely yes,visible; infrared,Oxygen,allow visible light to pass through but absorb infrared light,TRUE,means that infrared light coming from the sun is allowed to pass through the atmosphere and warm the earth,Moderately well
647a25a86b0f3c361ad56279262c4101,538,control,55,79,67,77,79,59,88,67,10,9,20,12,43,80,88,59,80,85,82,70,42,90,70,Definitely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably no,Probably no,Probably yes,infrared; ultraviolet,"Carbon dioxide,Methane",reflect visible light energy back toward earth,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
eeaba07942164d57aa937b702c55a0dd,561,intervention,70,50,30,50,50,50,50,40,50,50,50,50,0,90,80,20,80,80,80,5,10,10,77,Probably yes,Probably no,Probably yes,Probably yes,Probably no,Probably no,Probably yes,Definitely yes,ultraviolet; visible,Carbon dioxide,reflect visible light energy back toward earth,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
be5a0c578a69d93412449f837f17633b,489,control,5,95,70,95,90,90,80,5,5,5,5,5,10,90,95,30,80,40,95,50,5,80,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably no,Definitely yes,Definitely yes,infrared; ultraviolet,"Carbon dioxide,Methane",reflect visible light energy back toward earth,TRUE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Moderately well
dc087d6ac5248fa64e508457d121b995,535,control,2,90,70,95,95,70,100,0,20,5,5,10,100,100,70,70,100,50,100,50,70,90,77,Definitely yes,Probably yes,Probably yes,Probably yes,Probably no,Probably no,Probably yes,Probably yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
5d0e5ef869106d026364d0db95ad157a,342,control,5,70,30,90,90,40,80,10,25,20,15,30,40,80,70,30,80,50,80,50,20,80,77,Probably yes,Probably yes,Probably yes,Probably yes,Probably no,Probably no,Probably yes,Probably yes,visible; infrared,"Carbon dioxide,Methane",reflect visible light energy back toward earth,TRUE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Moderately well
f46243b7dad41efdd0129493cc2dc9de,602,intervention,0,65,35,90,90,50,90,50,65,0,25,10,10,85,65,25,99,65,90,50,3,90,77,Definitely yes,Probably yes,Probably yes,Probably no,Probably yes,Definitely no,Definitely no,Probably yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
bb0d59c193803b0654c55e63b675b9ac,646,intervention,5,50,35,45,52,50,12,10,12,25,15,9,25,15,35,10,38,45,25,35,10,45,77,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Slightly well
97454b7a57606d874962f10bdb3c1950,602,intervention,10,50,45,45,45,25,34,30,20,25,25,40,15,35,50,45,25,75,50,25,25,35,77,Probably yes,Probably no,Probably no,Probably no,Probably yes,Probably yes,Probably no,Probably yes,ultraviolet; visible,Methane,allow visible light to pass through but absorb infrared light,FALSE,means that infrared light coming from the sun is allowed to pass through the atmosphere and warm the earth,Very well
ab6358237f0354b14f1c7067af9210bc,446,control,3,9,10,13,11,15,96,60,87,80,70,85,10,10,60,12,35,15,65,20,8,15,77,Probably no,Probably no,Probably no,Probably no,Definitely no,Definitely no,Probably yes,Definitely no,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Moderately well
0f16f089fcadfaeab713bb297a0ae305,455,control,35,75,75,55,75,45,70,30,25,20,25,45,5,95,85,35,80,40,75,15,10,80,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably yes,Probably yes,infrared; ultraviolet,"Carbon dioxide,Methane",reflect visible light energy back toward earth,TRUE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Moderately well
4e2e7d0953ed9faabf82f5b47a206d7b,652,intervention,3,97,78,98,98,78,89,4,13,4,3,5,45,99,79,35,98,34,98,45,35,89,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
512d7ac15025da6e26f550b21c078214,293,control,15,20,15,25,15,20,15,20,35,20,25,15,20,25,25,20,25,25,15,20,50,20,77,Probably yes,Probably yes,Probably no,Probably yes,Probably no,Probably yes,Probably no,Probably yes,ultraviolet; visible,Oxygen,allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
0aae1d57548e8349e0fa9931f3b2c5fb,644,intervention,54,56,55,45,56,44,46,34,37,20,65,45,65,40,45,33,45,45,54,56,30,36,77,Definitely no,Definitely no,Definitely no,Definitely no,Probably no,Definitely no,Definitely no,Probably no,infrared; ultraviolet,"Carbon dioxide,Oxygen",allow visible light to pass through but absorb infrared light,TRUE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Moderately well
586e5b5e92d6ae30c71b2c30a563cbf9,550,intervention,20,50,25,30,25,25,80,50,75,70,75,70,0,50,25,0,50,0,30,10,0,50,77,Definitely yes,Probably no,Probably no,Probably yes,Probably no,Definitely no,Probably yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Extremely well
48722854730357bfcf73a7c271eda6ee,586,intervention,15,90,75,85,80,80,85,10,15,10,10,15,30,80,90,30,90,50,90,50,20,80,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Very well
6d07f6155f624fdf11dde8fd0b818ce6,707,intervention,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,infrared; visible,"Carbon dioxide,Methane,Nitrogen",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Very well
393a1fea112a866c36d8b8e3b1694dbb,418,control,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",reflect visible light energy back toward earth,FALSE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Moderately well
6c95178bee674b4051f94085428889d8,404,control,1,90,95,95,95,75,95,5,5,5,5,10,10,99,95,70,95,40,95,40,25,75,77,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,visible; infrared,Methane,allow infrared light to pass through but reflect visible light,TRUE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Very well
72fbdf5b1918710bdf06fff7007bcdbb,593,intervention,20,60,32,10,60,25,11,40,50,5,10,30,30,2,30,2,50,40,24,20,0,50,77,Definitely yes,Definitely no,Probably yes,Probably no,Definitely yes,Probably yes,Definitely yes,Probably yes,infrared; ultraviolet,Oxygen,allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Extremely well
b0dab2814cc5367302ed4b6515e95406,786,intervention,0,70,65,60,56,65,80,10,50,15,45,10,5,60,55,60,55,66,88,50,10,75,77,Probably yes,Probably yes,Definitely yes,Probably yes,Probably yes,Probably no,Probably no,Probably no,visible; infrared,Methane,reflect visible light energy back toward earth,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Slightly well
bc5d3ddbb9845514266d7db9fe1cf5b3,403,intervention,15,40,20,90,70,60,5,10,30,10,10,30,5,14,50,20,90,60,90,40,10,5,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Probably no,Probably no,Definitely yes,Definitely yes,infrared; ultraviolet,"Carbon dioxide,Methane",allow infrared light to pass through but reflect visible light,TRUE,means that infrared light coming from the sun is allowed to pass through the atmosphere and warm the earth,Moderately well
e02326947c4db1844cfb30ecf50a167c,448,control,1,95,1,5,7,75,95,5,99,5,95,2,1,76,0,0,20,5,25,5,2,20,77,Probably no,Definitely no,Definitely no,Probably no,Definitely no,Definitely no,Definitely no,Definitely no,visible; infrared,"Carbon dioxide,Methane,Nitrogen",allow visible light to pass through but absorb infrared light,TRUE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Moderately well
36c88d22d0423ddfc8344b78d9b1c11d,698,control,1,72,28,34,67,18,99,8,16,62,20,65,2,80,28,30,19,16,28,23,3,23,77,Definitely yes,Probably yes,Definitely yes,Probably yes,Probably yes,Probably yes,Definitely yes,Probably yes,visible; infrared,"Carbon dioxide,Methane,Nitrogen",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
71afd6b61cdf65619f9878f303acbc13,816,control,5,45,50,50,50,50,15,15,50,5,5,30,5,75,75,15,75,5,75,50,5,50,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,infrared; ultraviolet,"Carbon dioxide,Methane,Nitrogen",allow visible light to pass through but absorb infrared light,TRUE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Very well
995557641b48be37152f9bbce6b476b0,252,control,25,67,34,54,34,54,45,34,45,67,23,45,76,56,45,45,76,45,45,43,76,67,77,Probably no,Probably no,Probably yes,Probably yes,Probably yes,Definitely yes,Probably yes,Probably yes,visible; infrared,Carbon dioxide,allow infrared light to pass through but reflect visible light,TRUE,means that infrared light coming from the sun is allowed to pass through the atmosphere and warm the earth,Slightly well
63f9d097145d8261d2863592648bedb9,797,control,20,50,70,75,80,60,50,50,30,20,20,40,50,50,80,60,80,70,80,70,40,60,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,visible; infrared,"Carbon dioxide,Methane,Nitrogen",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
a13cd976eab46562e3d587bf0b337a04,852,intervention,25,40,40,40,40,20,20,20,20,20,20,40,25,20,30,20,40,15,30,20,30,30,77,Definitely yes,Probably yes,Probably yes,Probably yes,Definitely yes,Probably no,Probably no,Probably yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Very well
91f01d56e0ef3b5a99334a6c914ad292,654,intervention,5,60,25,40,40,40,95,30,75,60,60,60,40,60,45,25,55,25,55,25,10,25,77,Probably yes,Probably no,Probably no,Definitely no,Probably no,Definitely no,Probably yes,Probably yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Slightly well
4503bbfe46f985679d18436fde36bd89,561,intervention,2,35,10,60,55,8,90,35,75,40,35,75,15,50,20,5,60,40,60,20,5,20,77,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably no,Definitely no,Definitely yes,Probably yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
