subj_id,Duration,A,B,C,D,E,F,notA,notB,notC,notD,notE,notF,BgA,BgnotA,CgB,CgnotB,DgB,DgnotB,EgB,EgnotB,FgA,FgnotA,check77,Gov_Subsidies,Energy_tax,Coal_Regulations,Solar_subsidy,Business_tax,Gas_tax,Gas_guzzler,Fuel_efficiency,Age,Gender,Race,Education_level,Political_Party,Political_Views,Past_Voting
29e20df92b33a9dbde482f32127800d4,348,10,80,50,80,40,80,80,70,5,10,10,10,10,40,80,20,40,20,50,20,1,80,70,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,25,Male,White or Caucasian,Bachelor’s Degree,Other,Neither Liberal nor Conservative,Third party candidate
82ff488de15a7b031a9853dd376ba9a1,296,1,60,50,70,90,50,90,30,50,30,10,50,5,80,60,30,80,60,80,60,10,70,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely no,Probably no,Probably no,29,Male,White or Caucasian,Bachelor’s Degree,Independent,Slightly Liberal,Joe Biden
393a1fea112a866c36d8b8e3b1694dbb,345,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,71,Male,White or Caucasian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Joe Biden
b77d60634e7de9db90d10210b4c210e5,350,25,10,5,0,0,0,25,50,99,90,90,99,10,10,0,0,0,10,0,0,0,0,77,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,43,Female,White or Caucasian,Bachelor’s Degree,Republican Party,Very Conservative,Donald Trump
edbfdf08a030e9b8e6fae27b2f91a6af,381,60,50,50,50,60,70,40,60,40,50,45,40,30,90,85,30,80,30,90,35,20,70,75,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,33,Male,Multiracial or Biracial,Ph.D. or higher,Democratic Party,Very Liberal,Did not vote
bab617280108b189a1f30ad3dab0e62f,297,40,45,10,45,25,30,50,35,80,60,50,50,10,68,70,20,55,55,15,15,15,20,77,Probably yes,Probably yes,Probably yes,Probably yes,Probably no,Definitely no,Definitely no,Probably no,31,Female,Asian,Master’s Degree,Democratic Party,Slightly Liberal,Joe Biden
440a044de6e46de1548e5f15621e6b69,375,10,80,30,45,30,65,10,35,80,28,30,35,30,20,40,65,65,15,60,30,65,65,77,Definitely yes,Probably no,Probably yes,Definitely yes,Definitely no,Definitely no,Probably yes,Probably yes,38,Male,Asian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Did not vote
4405d08748c9a611b1d9402ff0ec4f0e,355,10,40,30,50,60,15,60,30,40,20,15,70,20,30,40,15,60,20,60,20,2,30,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Probably yes,Probably yes,Probably no,Probably yes,40,Female,White or Caucasian,Some undergraduate education,Democratic Party,Very Liberal,Joe Biden
d69492a123ad9c1f642e93876b891196,354,2,60,75,98,98,75,80,5,5,2,0,10,30,70,65,65,80,50,80,65,20,70,77,Definitely yes,Probably no,Probably no,Probably no,Probably no,Probably yes,Probably no,Probably yes,35,Female,White or Caucasian,Master’s Degree,Democratic Party,Slightly Liberal,Joe Biden
de12ae0eb7ad008bb1194a74669419bf,320,10,100,100,100,100,55,60,0,2,2,0,10,10,75,100,25,100,45,100,60,5,75,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably no,Probably yes,Definitely yes,Definitely yes,28,Male,White or Caucasian,Bachelor’s Degree,Democratic Party,Very Liberal,Joe Biden
9f527e0ed19dc7df237106c0afc50a9e,358,46,90,85,70,90,50,75,5,30,10,90,25,20,95,97,60,60,80,80,43,75,75,77,Probably yes,Definitely yes,Probably yes,Probably yes,Definitely yes,Probably no,Definitely yes,Definitely yes,24,Male,Hispanic or Latinx,Some undergraduate education,Independent,Neither Liberal nor Conservative,Joe Biden
29fc20cf0bcbc36c52101b30541c5acb,399,20,80,20,50,45,0,80,20,90,60,50,100,0,80,25,1,50,10,95,20,0,0,77,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,Definitely no,Probably yes,Definitely yes,26,Male,Black or African American,Bachelor’s Degree,Independent,Very Liberal,Joe Biden
b5f72a455a4e5f06e6c3c552395dc0a4,359,0,75,60,80,80,60,80,15,40,20,20,30,20,80,50,50,80,20,80,20,10,30,75,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably no,Definitely no,Definitely yes,Probably no,46,Male,White or Caucasian,Bachelor’s Degree,Republican Party,Very Conservative,Donald Trump
54744a0e9cf8565f4b363e4f2b342a4e,381,0,75,75,100,60,15,89,30,0,0,15,70,20,85,50,55,99,40,75,50,0,65,77,Probably yes,Probably yes,Probably yes,Definitely yes,Probably yes,Probably no,Definitely no,Probably no,32,Male,White or Caucasian,Some undergraduate education,Democratic Party,Slightly Liberal,Joe Biden
cffb8cab0baefa5b05b3a1d4e154f788,403,10,15,19,10,20,48,19,20,12,12,20,52,10,10,12,10,12,5,19,20,20,10,77,Probably yes,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,40,Male,White or Caucasian,Some undergraduate education,Democratic Party,Slightly Conservative,Joe Biden
0f16f089fcadfaeab713bb297a0ae305,413,10,70,85,75,75,45,85,10,30,25,15,55,5,100,85,25,80,70,95,15,5,80,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,39,Male,Black or African American,Bachelor’s Degree,Democratic Party,Very Liberal,Joe Biden
55edf828c41de25ea067f4fa8efee3ec,416,1,75,15,75,25,50,55,10,65,5,15,20,55,66,25,25,66,70,65,55,5,60,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably no,Probably yes,Probably yes,34,Female,Black or African American,Some undergraduate education,Democratic Party,Very Liberal,Joe Biden
55ff20e8bd0e86998684207797b4d262,393,5,60,15,25,12,10,72,35,58,80,75,78,40,75,20,15,25,5,25,12,5,12,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably no,Definitely yes,Definitely yes,38,Male,Asian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Joe Biden
57599cf851ed4626f0528dc9726626d7,420,60,60,100,100,100,70,50,40,5,45,5,20,75,100,100,80,100,90,100,75,75,100,77,Definitely yes,Probably no,Probably yes,Probably no,Probably yes,Probably no,Probably no,Probably yes,52,Female,White or Caucasian,Some undergraduate education,Democratic Party,Neither Liberal nor Conservative,Joe Biden
57bd3f3ed7f75d147043cdee07aa1ed8,392,20,80,80,80,80,60,60,20,20,20,20,40,10,90,100,80,100,60,80,100,20,60,77,Definitely yes,Definitely no,Definitely no,Probably no,Definitely no,Probably no,Probably yes,Probably yes,20,Male,Hispanic or Latinx,Some undergraduate education,Democratic Party,Slightly Liberal,Joe Biden
2381349327654991348d7643342f1170,363,1,99,95,95,100,75,99,1,5,0,0,0,50,100,100,25,100,50,100,50,50,100,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely no,Definitely yes,Definitely yes,33,Female,White or Caucasian,Bachelor’s Degree,Democratic Party,Very Liberal,Joe Biden
36c88d22d0423ddfc8344b78d9b1c11d,415,1,20,17,19,24,15,99,30,67,24,12,72,4,52,28,22,15,16,34,17,3,32,77,Definitely yes,Probably yes,Definitely yes,Definitely yes,Probably yes,Probably yes,Probably yes,Definitely yes,33,Male,White or Caucasian,Bachelor’s Degree,Republican Party,Slightly Conservative,Donald Trump
ca28e627e74e3abd8a61c612a71a4852,334,5,65,10,50,90,1,50,10,80,50,20,90,35,100,25,10,100,20,100,20,1,25,77,Definitely yes,Definitely no,Probably no,Definitely no,Definitely no,Probably yes,Definitely yes,Definitely yes,39,Male,White or Caucasian,High School Diploma,Democratic Party,Very Liberal,Joe Biden
3ece88fd209246993603c50eb18e2080,444,30,60,70,80,70,60,60,50,40,40,30,50,40,80,90,40,90,50,80,40,30,80,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably no,Definitely yes,Definitely yes,31,Male,Asian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Joe Biden
d940350752bf521dfd818c1b512d2ae1,409,30,60,75,70,66,60,95,40,25,30,22,33,50,60,75,50,100,35,99,40,34,66,77,Probably yes,Probably yes,Probably yes,Probably no,Probably yes,Probably no,Probably yes,Probably yes,45,Female,White or Caucasian,Some undergraduate education,Democratic Party,Slightly Liberal,Joe Biden
c41fe9b9e31ec9e1d452f1dcd90753b9,327,10,70,90,80,90,65,80,40,5,15,25,50,25,75,90,70,75,65,90,65,75,78,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Probably no,Probably yes,Probably yes,33,Male,White or Caucasian,Master’s Degree,Democratic Party,Very Liberal,Joe Biden
300b6120e1f565fbe9cd1b743a3213b7,460,45,78,29,75,38,36,45,28,35,45,50,27,35,75,48,12,58,42,38,35,15,45,77,Definitely yes,Probably yes,Probably no,Probably no,Probably yes,Probably no,Probably yes,Definitely yes,31,Female,White or Caucasian,Bachelor’s Degree,Independent,Neither Liberal nor Conservative,Did not vote
897e94b556180ce492aff1967d8555d8,441,20,80,90,70,90,80,80,30,10,10,20,20,70,95,60,50,90,40,90,40,50,90,77,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,19,Female,White or Caucasian,Some undergraduate education,Democratic Party,Very Liberal,Joe Biden
24687b8e20b068e574f2fc8e7c31d588,312,3,70,80,85,80,60,90,20,15,10,20,40,55,90,80,60,95,30,95,65,35,60,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,50,Male,White or Caucasian,Some undergraduate education,Independent,Slightly Liberal,Joe Biden
2bf33a3d6bb6e74db6dda68ace090858,404,10,70,95,99,90,25,99,50,5,50,5,50,50,95,95,10,90,50,90,50,20,90,77,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,Definitely yes,Probably yes,37,Male,White or Caucasian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Joe Biden
59743d4168793f28bfb41f8246b8f98c,444,0,90,90,98,99,90,100,1,1,1,1,10,20,85,80,20,99,20,99,40,10,75,77,Definitely yes,Probably yes,Definitely yes,Definitely yes,Definitely no,Definitely no,Probably no,Probably yes,49,Male,White or Caucasian,Some undergraduate education,Democratic Party,Very Liberal,Joe Biden
0ba225b5f2f9f137bf90fc69a3435695,482,5,85,85,85,99,75,90,30,10,5,15,10,40,90,95,50,85,20,85,30,40,80,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,32,Male,Black or African American,Master’s Degree,Democratic Party,Very Liberal,Joe Biden
f7211cb2f8b701f660b98edf503e8c93,418,20,50,20,30,40,20,30,30,50,30,40,40,10,40,20,40,20,20,20,20,50,10,77,Probably no,Probably no,Definitely no,Definitely no,Probably no,Probably yes,Probably yes,Probably yes,25,Female,White or Caucasian,Bachelor’s Degree,Democratic Party,Neither Liberal nor Conservative,Joe Biden
c6398132fbc0b600c39a45d9aeefac6d,398,1,30,30,50,50,20,50,15,60,10,20,40,33,33,25,25,80,60,70,35,20,33,75,Probably yes,Probably yes,Definitely yes,Probably yes,Probably no,Definitely no,Probably no,Probably yes,30,Male,Black or African American,Bachelor’s Degree,Democratic Party,Neither Liberal nor Conservative,Did not vote
3d051bfd596ffeddc0fa5a66dc8b4742,484,10,60,30,100,100,40,90,20,80,0,0,40,50,75,25,10,100,100,100,100,10,40,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Probably yes,Definitely no,Probably yes,Definitely yes,25,Male,White or Caucasian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Joe Biden
3fb877cae5bf0e598b0e1f9f1f912d75,464,0,100,100,100,100,10,0,0,0,0,10,90,0,75,100,0,100,0,100,100,0,0,77,Definitely yes,Definitely no,Probably no,Definitely no,Definitely yes,Definitely no,Definitely no,Definitely no,36,Male,White or Caucasian,High School Diploma,Democratic Party,Slightly Conservative,Joe Biden
b53bbb55e83ee4933fa1102b4e351c1a,424,10,80,80,80,75,80,80,30,35,10,10,10,10,80,80,20,80,15,80,20,10,80,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,46,Female,Black or African American,Master’s Degree,Democratic Party,Very Liberal,Joe Biden
728cbb3f80b95376cead4dc7626e142e,328,0,20,55,60,65,80,90,40,40,45,30,5,2,75,65,5,80,15,90,10,0,85,77,Probably no,Definitely no,Definitely no,Probably no,Probably no,Definitely no,Probably yes,Definitely yes,28,Male,White or Caucasian,High School Diploma,Republican Party,Very Conservative,Donald Trump
6e0605842662ec879a0766ca7cd308e8,298,9,79,23,78,87,67,88,33,13,4,2,19,23,85,78,20,90,88,90,42,28,55,27,Definitely yes,Probably yes,Definitely yes,Probably yes,Definitely yes,Probably yes,Probably yes,Probably no,33,Male,White or Caucasian,High School Diploma,Independent,Neither Liberal nor Conservative,Joe Biden
de8a7074f243ef7e8fd4f5d6b475b3a3,493,10,23,50,40,30,20,4,40,50,20,30,21,50,40,20,50,60,29,30,20,12,10,77,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Probably no,48,Female,White or Caucasian,High School Diploma,Democratic Party,Slightly Liberal,Joe Biden
0d0fb8b8580d55fd296cd36e4c75029d,484,2,10,6,12,44,8,98,8,90,60,75,87,6,12,12,6,25,5,22,6,4,6,77,Probably yes,Probably no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,51,Male,White or Caucasian,Some undergraduate education,Independent,Neither Liberal nor Conservative,Donald Trump
f0cd215fd6fb02579d387b97afdfe66f,438,40,85,90,95,90,55,85,45,10,1,1,25,33,95,80,70,99,65,99,80,30,99,77,Definitely yes,Probably yes,Probably yes,Probably no,Probably no,Probably no,Probably yes,Probably no,30,Female,White or Caucasian,Some undergraduate education,Democratic Party,Slightly Liberal,Joe Biden
6c95178bee674b4051f94085428889d8,488,5,90,90,95,90,75,99,20,10,5,15,10,5,90,90,25,95,60,99,65,10,90,77,Definitely yes,Probably no,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Probably yes,47,Female,White or Caucasian,Master’s Degree,Democratic Party,Slightly Liberal,Joe Biden
6d07f6155f624fdf11dde8fd0b818ce6,493,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,35,Male,Asian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Joe Biden
4209b8b3a779209ef0b9cbefb36adb43,462,2,10,4,5,23,15,86,90,84,80,80,39,1,10,3,1,20,5,84,10,12,64,77,Probably yes,Probably no,Probably no,Probably no,Probably no,Probably yes,Probably no,Probably no,30,Male,Black or African American,Some undergraduate education,Independent,Neither Liberal nor Conservative,Did not vote
fcea6255104cedb58f0f1322d0be6a9a,411,5,50,20,60,60,20,95,50,80,40,40,20,50,50,20,20,60,60,60,60,20,20,77,Probably no,Probably no,Probably no,Probably no,Probably no,Definitely no,Probably no,Probably no,32,Male,Asian,High School Diploma,Independent,Neither Liberal nor Conservative,Did not vote
0d95ee0748bf0b805e6b2a2835983517,441,1,70,90,100,100,70,99,5,10,0,1,2,40,90,90,40,100,100,100,60,33,100,77,Definitely yes,Definitely no,Definitely no,Definitely yes,Definitely no,Definitely no,Definitely no,Probably yes,44,Male,White or Caucasian,Some undergraduate education,Other,Very Liberal,Third party candidate
19d9525c60fb7b77b2de23ec907a75a7,502,40,45,20,50,50,45,60,50,65,40,10,45,10,55,35,15,65,50,55,50,20,55,77,Definitely yes,Probably yes,Probably yes,Probably yes,Probably no,Probably no,Probably yes,Probably yes,31,Female,White or Caucasian,Bachelor’s Degree,Independent,Very Liberal,Joe Biden
ab6beacc561e7f572b4f2141088019e1,505,40,55,65,50,50,70,65,3,35,50,5,30,27,40,60,40,35,35,45,40,45,70,77,Definitely yes,Probably no,Probably yes,Probably yes,Probably yes,Definitely no,Probably yes,Probably yes,29,Female,White or Caucasian,High School Diploma,Democratic Party,Very Liberal,Joe Biden
1e8c0328d6fbd64d961baa96985c180d,500,20,67,60,35,40,55,80,50,80,50,60,50,2,69,75,35,70,35,80,25,10,33,77,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably yes,Definitely no,Probably yes,Probably no,35,Male,White or Caucasian,Some undergraduate education,Independent,Slightly Liberal,Joe Biden
7a380959422e9b45146bb602b22e43c3,458,1,40,25,25,25,10,40,20,25,10,5,15,15,30,40,10,5,2,45,5,2,25,77,Probably yes,Probably no,Probably yes,Probably no,Probably no,Definitely no,Definitely no,Definitely no,33,Male,Hispanic or Latinx,Bachelor’s Degree,Republican Party,Slightly Conservative,Donald Trump
91f01d56e0ef3b5a99334a6c914ad292,527,5,75,25,60,60,55,95,25,75,40,40,60,25,75,25,10,60,40,60,40,5,50,77,Probably yes,Probably no,Probably no,Probably no,Definitely no,Definitely no,Probably yes,Probably yes,45,Male,White or Caucasian,Some undergraduate education,Independent,Slightly Conservative,Donald Trump
a6ccd1c78e525742e7b9e7ebb9f35324,501,40,65,65,65,60,60,40,45,25,35,20,25,66,88,70,33,65,33,80,55,30,70,77,Definitely yes,Probably yes,Definitely yes,Definitely yes,Probably yes,Probably no,Definitely yes,Definitely yes,33,Male,Asian,Bachelor’s Degree,Democratic Party,Very Liberal,Joe Biden
4565f86914233b28dbdfc9cf81fedb26,225,5,50,100,50,50,50,100,50,50,50,50,50,30,60,100,30,100,30,100,100,50,80,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,40,Male,White or Caucasian,Some undergraduate education,Independent,Very Liberal,Did not vote
467923779d342c6dba903772c60709c2,506,90,15,30,40,30,2,70,98,70,60,60,70,5,50,95,1,80,20,98,10,1,60,77,Probably yes,Probably yes,Probably yes,Probably yes,Probably no,Definitely no,Definitely yes,Definitely yes,66,Female,White or Caucasian,Ph.D. or higher,Democratic Party,Slightly Liberal,Joe Biden
dcbbf8191e66b5e4cd9dd34f61c52cf6,499,5,75,50,80,80,40,90,15,50,0,0,10,20,50,40,20,100,80,100,40,20,75,77,Definitely yes,Definitely no,Definitely no,Probably yes,Definitely no,Definitely no,Definitely yes,Probably no,56,Male,White or Caucasian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Joe Biden
a57dae4f49684e6d73cdc201f02e0991,493,40,70,60,78,82,60,40,2,13,2,12,12,40,70,60,12,78,10,82,10,60,60,77,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,Probably no,Definitely yes,Definitely yes,48,Female,Native American or Alaskan Native,Some undergraduate education,Independent,Slightly Conservative,Joe Biden
9420a4a6be3594e5c24835e460f31436,545,30,90,90,90,90,60,50,20,30,20,20,20,40,80,70,50,90,30,95,60,60,95,77,Probably no,Probably yes,Probably yes,Definitely no,Probably no,Definitely no,Probably no,Probably no,NA,Male,Asian,High School Diploma,Independent,Slightly Liberal,Third party candidate
74703d87f56510dffee546ac7e5d75c6,317,15,25,40,30,35,40,10,30,10,15,15,25,10,35,50,45,40,20,55,20,10,40,77,Probably yes,Probably yes,Probably yes,Definitely yes,Probably yes,Probably no,Definitely yes,Probably yes,31,Female,White or Caucasian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Joe Biden
64ded692b586d3740accae257c4c7a3b,506,50,57,74,36,69,47,30,34,70,47,60,46,50,36,66,47,77,40,33,47,57,34,37,Probably yes,Probably no,Probably yes,Probably no,Definitely yes,Probably yes,Probably no,Probably yes,30,Male,White or Caucasian,Bachelor’s Degree,Democratic Party,Slightly Conservative,Joe Biden
5906370f8aea1650673e57481bfdaf04,514,5,50,20,90,50,15,15,15,40,20,10,20,40,40,50,30,85,80,50,20,25,20,77,Definitely yes,Probably no,Probably no,Definitely no,Probably yes,Definitely no,Probably yes,Probably no,NA,Female,White or Caucasian,High School Diploma,Democratic Party,Very Liberal,Joe Biden
c7b81b8d1d1f66de548f184d6108357a,520,1,90,30,40,30,20,90,2,70,25,70,75,70,80,30,1,45,5,40,30,5,40,77,Probably yes,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,25,Male,White or Caucasian,High School Diploma,Democratic Party,Slightly Liberal,Joe Biden
4ffd4d58bb6434eb7868873eda7f991a,539,0,10,43,14,10,13,100,50,50,70,100,40,90,0,50,2,45,35,76,15,63,0,77,Definitely yes,Probably yes,Probably yes,Probably yes,Probably no,Probably no,Probably yes,Definitely yes,34,Female,White or Caucasian,Some undergraduate education,Independent,Neither Liberal nor Conservative,Did not vote
d762894b2889214b70fc8fdb7af63aec,528,2,20,30,10,25,5,90,40,75,80,70,45,5,40,40,3,10,5,25,5,3,3,77,Probably yes,Definitely yes,Probably yes,Probably yes,Probably no,Probably no,Probably yes,Probably yes,37,Female,White or Caucasian,Master’s Degree,Independent,Slightly Conservative,Third party candidate
01c985ab66b401db0404791cac4b4b32,521,0,95,80,85,90,70,80,10,20,30,20,60,10,95,80,55,90,70,80,70,20,70,70,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,Probably no,Probably yes,Probably yes,61,Female,White or Caucasian,Bachelor’s Degree,Democratic Party,Very Liberal,Joe Biden
